,temperature,m_avg_deep_temp
0,15.983870967741936,12.935897435897436
1,21.86,16.744999999999997
2,23.796774193548387,20.72068965517241
3,23.106451612903225,22.32972972972973
4,19.916666666666668,22.703333333333333
5,14.21935483870968,15.079310344827586
6,17.141935483870967,14.602857142857143
7,22.75333333333333,17.59333333333333
8,24.32903225806452,20.967567567567567
9,23.67096774193548,21.96896551724138
10,20.973333333333336,21.634375
11,15.019354838709678,18.225
12,20.9741935483871,16.286363636363635
13,22.72,20.942307692307693
14,25.238709677419354,23.57241379310345
15,23.835483870967742,25.348148148148148
16,20.71,24.83448275862069
17,15.925806451612903,19.630000000000003
18,16.383870967741935,14.191304347826089
19,20.540000000000003,18.641379310344828
20,24.177419354838708,21.57586206896552
21,21.887096774193548,22.64444444444444
22,20.30333333333333,21.14333333333333
23,14.13548387096774,19.63076923076923
24,18.60967741935484,14.0
25,23.28,18.38235294117647
26,27.074193548387097,21.70357142857143
27,24.677419354838708,22.46
28,19.99333333333333,22.77692307692308
29,13.748387096774191,18.132
30,16.22258064516129,13.962162162162162
31,24.040000000000003,16.18064516129032
32,24.038709677419355,21.096875
33,22.874193548387098,23.545
34,19.386666666666667,23.173333333333336
35,14.674193548387096,20.01428571428572
36,18.203225806451613,13.997435897435896
37,21.98,16.909375
38,25.32258064516129,19.83225806451613
39,26.361290322580647,21.74324324324324
40,20.12,22.517857142857142
41,14.98709677419355,17.553846153846155
42,19.21935483870968,15.194871794871796
43,22.543333333333333,17.934375
44,23.36774193548387,19.284848484848485
45,22.932258064516127,22.48205128205128
46,19.266666666666666,23.125
47,15.503225806451614,15.773333333333332
48,20.796666666666667,17.103333333333335
49,24.26774193548387,19.685714285714283
50,22.69032258064516,21.816666666666663
51,19.96,22.38918918918919
52,14.629032258064516,21.014285714285712
53,19.63225806451613,14.4625
54,22.30333333333333,18.941666666666663
55,24.31290322580645,21.683333333333334
56,24.429032258064517,22.80555555555556
57,23.636666666666667,24.753846153846155
58,15.690322580645162,21.006666666666668
59,18.67096774193548,18.344444444444445
60,23.16333333333333,18.46
61,26.17096774193548,20.445454545454545
62,24.370967741935484,22.3
63,21.03666666666667,24.17142857142857
64,14.538709677419355,20.85
65,19.951612903225808,15.159090909090908
66,22.87333333333333,19.77857142857143
67,23.18064516129032,21.707692307692305
68,23.15806451612903,22.30555555555556
69,19.52,22.3
70,15.59032258064516,19.966666666666665
71,19.206451612903223,14.765
72,22.02333333333333,17.58
73,23.993548387096773,21.35217391304348
74,24.52258064516129,23.15
75,19.97,22.5625
76,14.27741935483871,17.78
77,17.103225806451615,15.460869565217392
78,23.01333333333333,15.228571428571428
