,temperature,m_avg_surf_temp
0,15.983870967741936,18.66
1,21.86,24.7875
2,23.796774193548387,27.1
3,23.106451612903225,26.84
4,19.916666666666668,24.314285714285717
5,14.21935483870968,16.475
6,17.141935483870967,20.25
7,22.75333333333333,24.5
8,24.32903225806452,27.87
9,23.67096774193548,26.9375
10,20.973333333333336,25.0875
11,15.019354838709678,18.98
12,20.9741935483871,24.4
13,22.72,26.5
14,25.238709677419354,28.4
15,23.835483870967742,27.5375
16,20.71,26.75
17,15.925806451612903,19.3625
18,16.383870967741935,19.633333333333333
19,20.540000000000003,23.7625
20,24.177419354838708,27.8
21,21.887096774193548,26.2375
22,20.30333333333333,24.175
23,14.13548387096774,20.125
24,18.60967741935484,21.175
25,23.28,25.33
26,27.074193548387097,30.925
27,24.677419354838708,27.99
28,19.99333333333333,24.9375
29,13.748387096774191,18.1875
30,16.22258064516129,19.57
31,24.040000000000003,28.2625
32,24.038709677419355,29.5875
33,22.874193548387098,26.910000000000004
34,19.386666666666667,23.775
35,14.674193548387096,20.08333333333333
36,18.203225806451613,19.475
37,21.98,25.525
38,25.32258064516129,28.5875
39,26.361290322580647,29.44
40,20.12,24.1625
41,14.98709677419355,18.9
42,19.21935483870968,20.75
43,22.543333333333333,26.1125
44,23.36774193548387,27.725
45,22.932258064516127,27.23
46,19.266666666666666,25.2125
47,15.503225806451614,18.7
48,20.796666666666667,23.2625
49,24.26774193548387,28.39
50,22.69032258064516,27.4875
51,19.96,24.37
52,14.629032258064516,22.35
53,19.63225806451613,21.2
54,22.30333333333333,26.275
55,24.31290322580645,28.58333333333333
56,24.429032258064517,28.125
57,23.636666666666667,27.15
58,15.690322580645162,21.225
59,18.67096774193548,24.425
60,23.16333333333333,26.6
61,26.17096774193548,29.1
62,24.370967741935484,28.183333333333334
63,21.03666666666667,25.475
64,14.538709677419355,21.525
65,19.951612903225808,20.116666666666667
66,22.87333333333333,27.775
67,23.18064516129032,27.35
68,23.15806451612903,27.625
69,19.52,25.375
70,15.59032258064516,20.3
71,19.206451612903223,23.666666666666668
72,22.02333333333333,24.5
73,23.993548387096773,27.15
74,24.52258064516129,29.175
75,19.97,25.2
76,14.27741935483871,18.700000000000003
77,17.103225806451615,18.466666666666665
78,23.01333333333333,27.1
79,25.34193548387097,28.6
80,25.55806451612903,27.95
81,22.78333333333333,25.775
82,15.16451612903226,21.675
83,17.961290322580645,20.716666666666665
84,20.51333333333333,23.9375
85,23.358064516129037,27.275
86,23.661290322580644,28.316666666666663
87,19.386666666666667,24.825
88,14.348387096774196,19.625
89,20.796774193548387,22.96666666666667
90,21.976666666666667,27.066666666666663
91,23.316129032258065,26.95
92,22.26774193548387,27.15
93,20.50333333333333,23.7
94,16.261290322580646,19.05
95,16.96451612903226,21.0
96,24.043333333333333,25.8
97,25.429032258064517,28.525
98,25.996774193548383,29.1625
99,23.59333333333333,25.8
100,15.680645161290323,20.6
101,16.90967741935484,19.175
102,21.473333333333336,25.675
103,24.906451612903226,28.9
104,25.38064516129032,28.425
105,18.53,25.55
106,13.103225806451611,20.25
107,21.04516129032258,24.275
108,24.90333333333333,26.15
109,24.5,27.375
110,28.32258064516129,28.45
111,23.58,25.925
112,18.529032258064515,21.65
113,17.03548387096774,18.375
114,24.53666666666667,26.025
115,25.041935483870965,27.375
116,23.91935483870968,26.75
117,22.416666666666668,25.83333333333333
118,14.75483870967742,19.4
119,17.993548387096773,19.4
120,22.81,26.4
121,22.17419354838709,27.03333333333333
122,22.816129032258065,26.425
123,20.03,24.65
124,13.506451612903223,19.5
125,20.37741935483871,21.6
126,26.52,26.53333333333333
127,26.10322580645161,27.525
128,25.75483870967742,28.133333333333336
129,21.84,24.25
130,15.564516129032258,20.9
131,23.967741935483872,27.85
132,23.48064516129032,27.4
133,23.64516129032258,28.3
134,21.923333333333336,26.85
135,15.119354838709675,19.375
136,17.306451612903224,23.875
137,24.186666666666667,27.825
138,25.425806451612903,29.725
139,25.44193548387097,28.7
140,23.44333333333333,26.78333333333333
141,18.45483870967742,22.066666666666663
142,18.396774193548385,22.816666666666663
143,21.74,26.07333333333333
144,24.53548387096774,28.8
145,22.32258064516129,27.425
146,19.773333333333333,24.6
147,15.829032258064515,21.95
148,21.548387096774192,22.866666666666664
149,24.41,27.4
150,25.432258064516127,27.825
151,24.44516129032258,27.875
152,23.41,27.8975
153,15.548387096774194,20.2
154,17.861290322580647,19.24
155,22.773333333333333,26.0625
156,24.97741935483871,27.83
157,24.580645161290324,27.5375
158,20.686666666666667,25.475
159,15.006451612903223,19.01
160,17.95483870967742,17.575
161,23.946666666666665,24.8625
162,25.596774193548388,27.99
163,25.141935483870967,27.85
164,22.66,26.025
165,15.216129032258063,19.97
166,21.55161290322581,22.9
167,23.986666666666668,26.975
168,26.39032258064516,28.7
169,25.07741935483871,28.0375
170,21.84333333333333,26.01
171,16.348387096774193,18.0875
172,18.003225806451614,19.75
173,21.89333333333333,24.0875
174,25.30967741935484,27.6375
175,22.60322580645161,26.18
176,20.666666666666668,22.95
177,14.809677419354838,20.55
178,18.98064516129032,21.5375
179,23.85,26.83333333333333
180,28.0258064516129,29.8
181,25.887096774193548,28.660000000000004
182,20.476666666666667,25.3125
183,14.290322580645162,19.375
184,17.835483870967742,20.125
185,25.246666666666663,26.9875
186,24.84193548387097,27.9
187,24.68064516129032,27.325
188,19.32258064516129,20.2875
189,23.33,26.125
190,26.461290322580645,28.56
191,27.370967741935484,29.55
192,20.866666666666667,25.1625
193,15.50967741935484,20.925
194,20.80967741935484,21.525
