,reservoir,yearmonth,m_avg_surf_temp,m_avg_deep_temp,m_avg_dissolved_oxygen,density_cells/ml,temperature,precipitation_sum,daylight_duration,type,stratification,latitude,longitude,alg_bloom,alg_bloom_num,temp_diff,type_enc,strat_enc,do_cat
28,BHR,199309,24.9375,22.77692307692308,1.5615384615384615,0.0,19.99333333333333,3.89,44660.025,Forest,Strong,37.3386,-83.4707,no bloom,0,2.1605769230769205,1,0,0
29,BHR,199310,18.1875,18.132,5.36,0.0,13.748387096774191,2.674193548387097,40367.14612903226,Forest,Strong,37.3386,-83.4707,no bloom,0,0.0554999999999985,1,0,1
30,BHR,199405,19.57,13.962162162162162,8.537837837837838,0.0,16.22258064516129,3.138709677419355,51063.76193548388,Forest,Strong,37.3386,-83.4707,no bloom,0,5.607837837837838,1,0,1
31,BHR,199406,28.2625,16.18064516129032,4.22258064516129,0.0,24.040000000000003,7.06,52894.30266666667,Forest,Strong,37.3386,-83.4707,no bloom,0,12.081854838709678,1,0,1
32,BHR,199407,29.5875,21.096875,1.053125,0.0,24.038709677419355,4.216129032258064,51986.83451612904,Forest,Strong,37.3386,-83.4707,no bloom,0,8.490624999999998,1,0,0
33,BHR,199408,26.910000000000004,23.545,0.255,0.0,22.874193548387098,3.9193548387096775,48814.9535483871,Forest,Strong,37.3386,-83.4707,no bloom,0,3.365000000000005,1,0,0
34,BHR,199409,23.775,23.173333333333336,1.2466666666666666,0.0,19.386666666666667,1.836666666666667,44695.227,Forest,Strong,37.3386,-83.4707,no bloom,0,0.601666666666663,1,0,0
35,BHR,199410,20.08333333333333,20.01428571428572,4.5,0.0,14.674193548387096,2.47741935483871,40399.90258064516,Forest,Strong,37.3386,-83.4707,no bloom,0,0.0690476190476161,1,0,1
36,BHR,199505,19.475,13.997435897435896,9.158974358974358,0.0,18.203225806451613,3.583870967741935,51039.55774193549,Forest,Strong,37.3386,-83.4707,no bloom,0,5.477564102564104,1,0,1
37,BHR,199506,25.525,16.909375,3.7375,0.0,21.98,4.456666666666667,52890.062000000005,Forest,Strong,37.3386,-83.4707,no bloom,0,8.615624999999998,1,0,1
38,BHR,199507,28.5875,19.83225806451613,0.6870967741935484,0.0,25.32258064516129,2.335483870967742,52004.6829032258,Forest,Strong,37.3386,-83.4707,no bloom,0,8.75524193548387,1,0,0
39,BHR,199508,29.44,21.74324324324324,0.1972972972972973,13.615384615399998,26.361290322580647,2.048387096774193,48843.97709677419,Forest,Strong,37.3386,-83.4707,bloom,1,7.696756756756756,1,0,0
40,BHR,199509,24.1625,22.517857142857142,1.7642857142857142,0.0,20.12,3.283333333333333,44730.93166666666,Forest,Strong,37.3386,-83.4707,no bloom,0,1.644642857142859,1,0,0
41,BHR,199510,18.9,17.553846153846155,5.323076923076924,0.0,14.98709677419355,3.761290322580645,40432.85580645161,Forest,Strong,37.3386,-83.4707,no bloom,0,1.3461538461538431,1,0,1
42,BHR,199605,20.75,15.194871794871796,8.664102564102564,0.0,19.21935483870968,5.409677419354838,51111.73258064516,Forest,Strong,37.3386,-83.4707,no bloom,0,5.555128205128204,1,0,1
43,BHR,199606,26.1125,17.934375,5.50625,0.0,22.543333333333333,4.3100000000000005,52903.046,Forest,Strong,37.3386,-83.4707,no bloom,0,8.178125000000001,1,0,1
44,BHR,199607,27.725,19.284848484848485,2.1090909090909093,0.0,23.36774193548387,5.877419354838709,51948.87806451613,Forest,Strong,37.3386,-83.4707,no bloom,0,8.440151515151516,1,0,1
45,BHR,199608,27.23,22.48205128205128,0.4846153846153845,0.0,22.932258064516127,3.729032258064517,48750.47193548387,Forest,Strong,37.3386,-83.4707,no bloom,0,4.74794871794872,1,0,0
46,BHR,199609,25.2125,23.125,1.021875,0.0,19.266666666666666,5.383333333333334,44622.884,Forest,Strong,37.3386,-83.4707,no bloom,0,2.0874999999999986,1,0,0
47,BHR,199705,18.7,15.773333333333332,6.566666666666666,0.0,15.503225806451614,3.56774193548387,51089.32322580645,Forest,Strong,37.3386,-83.4707,no bloom,0,2.926666666666666,1,0,1
48,BHR,199706,23.2625,17.103333333333335,5.489999999999999,0.0,20.796666666666667,7.1466666666666665,52898.776666666665,Forest,Strong,37.3386,-83.4707,no bloom,0,6.159166666666664,1,0,1
49,BHR,199707,28.39,19.685714285714283,2.1357142857142857,0.0,24.26774193548387,2.4516129032258065,51966.05387096774,Forest,Strong,37.3386,-83.4707,no bloom,0,8.704285714285714,1,0,1
50,BHR,199708,27.4875,21.816666666666663,0.5133333333333333,0.0,22.69032258064516,2.193548387096774,48781.99516129032,Forest,Strong,37.3386,-83.4707,no bloom,0,5.670833333333334,1,0,0
51,BHR,199709,24.37,22.38918918918919,0.8054054054054054,0.0,19.96,1.8033333333333332,44656.46533333333,Forest,Strong,37.3386,-83.4707,no bloom,0,1.980810810810809,1,0,0
52,BHR,199710,22.35,21.014285714285712,1.8285714285714287,0.0,14.629032258064516,1.367741935483871,40364.81935483871,Forest,Strong,37.3386,-83.4707,no bloom,0,1.335714285714289,1,0,1
53,BHR,199805,21.2,14.4625,6.325,0.0,19.63225806451613,5.770967741935484,51066.47967741936,Forest,Strong,37.3386,-83.4707,no bloom,0,6.737499999999999,1,0,1
54,BHR,199806,26.275,18.941666666666663,5.133333333333334,0.0,22.30333333333333,5.426666666666667,52894.276,Forest,Strong,37.3386,-83.4707,no bloom,0,7.333333333333332,1,0,1
55,BHR,199807,28.58333333333333,21.683333333333334,1.2625,4.61395233366435,24.31290322580645,2.032258064516129,51984.23870967742,Forest,Strong,37.3386,-83.4707,bloom,1,6.899999999999999,1,0,0
56,BHR,199808,28.125,22.80555555555556,0.0111111111111111,0.0,24.429032258064517,1.2967741935483872,48810.80064516129,Forest,Strong,37.3386,-83.4707,no bloom,0,5.319444444444443,1,0,0
57,BHR,199809,27.15,24.753846153846155,0.0384615384615384,0.0,23.636666666666667,1.1,44691.39966666666,Forest,Strong,37.3386,-83.4707,no bloom,0,2.396153846153844,1,0,0
58,BHR,199810,21.225,21.006666666666668,3.306666666666666,0.0,15.690322580645162,1.1709677419354838,40396.46193548387,Forest,Strong,37.3386,-83.4707,no bloom,0,0.2183333333333337,1,0,1
59,BHR,199905,24.425,18.344444444444445,5.888888888888889,0.0,18.67096774193548,2.303225806451613,51041.662903225806,Forest,Strong,37.3386,-83.4707,no bloom,0,6.080555555555556,1,0,1
60,BHR,199906,26.6,18.46,1.8733333333333333,0.0,23.16333333333333,3.04,52890.60633333333,Forest,Strong,37.3386,-83.4707,no bloom,0,8.140000000000004,1,0,1
61,BHR,199907,29.1,20.445454545454545,1.2045454545454546,58.97737394490088,26.17096774193548,1.8064516129032255,52002.65838709677,Forest,Strong,37.3386,-83.4707,bloom,1,8.654545454545453,1,0,0
62,BHR,199908,28.183333333333334,22.3,0.7040000000000001,0.0,24.370967741935484,2.303225806451613,48840.49677419355,Forest,Strong,37.3386,-83.4707,no bloom,0,5.883333333333333,1,0,0
63,BHR,199909,25.475,24.17142857142857,3.271428571428572,0.0,21.03666666666667,1.6233333333333335,44727.036,Forest,Strong,37.3386,-83.4707,no bloom,0,1.3035714285714306,1,0,1
64,BHR,199910,21.525,20.85,3.871428571428571,0.0,14.538709677419355,2.8709677419354844,40429.29290322581,Forest,Strong,37.3386,-83.4707,no bloom,0,0.6750000000000007,1,0,1
65,BHR,200005,20.116666666666667,15.159090909090908,5.9409090909090905,0.0,19.951612903225808,2.174193548387097,51114.470645161295,Forest,Strong,37.3386,-83.4707,no bloom,0,4.957575757575759,1,0,1
66,BHR,200006,27.775,19.77857142857143,2.9428571428571426,0.0,22.87333333333333,3.6133333333333337,52903.884,Forest,Strong,37.3386,-83.4707,no bloom,0,7.99642857142857,1,0,1
67,BHR,200007,27.35,21.707692307692305,1.6076923076923075,88.66160714285715,23.18064516129032,3.325806451612903,51946.93967741935,Forest,Strong,37.3386,-83.4707,bloom,1,5.642307692307693,1,0,0
68,BHR,200008,27.625,22.30555555555556,0.0722222222222222,0.0,23.15806451612903,3.9129032258064513,48747.49483870968,Forest,Strong,37.3386,-83.4707,no bloom,0,5.319444444444443,1,0,0
69,BHR,200009,25.375,22.3,0.7352941176470589,0.0,19.52,4.216666666666667,44619.04166666666,Forest,Strong,37.3386,-83.4707,no bloom,0,3.0749999999999997,1,0,0
70,BHR,200010,20.3,19.966666666666665,4.1,0.0,15.59032258064516,0.3483870967741935,40327.36096774194,Forest,Strong,37.3386,-83.4707,no bloom,0,0.3333333333333357,1,0,1
71,BHR,200105,23.666666666666668,14.765,5.725,0.0,19.206451612903223,2.9612903225806453,51092.17451612903,Forest,Strong,37.3386,-83.4707,no bloom,0,8.901666666666667,1,0,1
72,BHR,200106,24.5,17.58,2.773333333333333,0.0,22.02333333333333,3.16,52899.823,Forest,Strong,37.3386,-83.4707,no bloom,0,6.920000000000002,1,0,1
73,BHR,200107,27.15,21.35217391304348,0.8043478260869565,13.23425,23.993548387096773,4.829032258064516,51964.4935483871,Forest,Strong,37.3386,-83.4707,bloom,1,5.797826086956523,1,0,0
74,BHR,200108,29.175,23.15,1.55625,0.0,24.52258064516129,2.0806451612903225,48778.10064516129,Forest,Strong,37.3386,-83.4707,no bloom,0,6.025000000000002,1,0,0
75,BHR,200109,25.2,22.5625,1.51875,0.0,19.97,1.4800000000000002,44652.256,Forest,Strong,37.3386,-83.4707,no bloom,0,2.6374999999999997,1,0,0
76,BHR,200110,18.700000000000003,17.78,4.74,0.0,14.27741935483871,1.6161290322580646,40359.96935483871,Forest,Strong,37.3386,-83.4707,no bloom,0,0.9200000000000016,1,0,1
77,BHR,200205,18.466666666666665,15.460869565217392,7.404347826086956,0.0,17.103225806451615,3.980645161290323,51068.98064516129,Forest,Strong,37.3386,-83.4707,no bloom,0,3.0057971014492733,1,0,1
78,BHR,200206,27.1,15.228571428571428,5.3,0.0,23.01333333333333,3.02,52895.80866666666,Forest,Strong,37.3386,-83.4707,no bloom,0,11.871428571428574,1,0,1
79,BHR,200207,28.6,19.14814814814815,2.807407407407408,9.31404347826087,25.34193548387097,2.5580645161290323,51983.528387096776,Forest,Strong,37.3386,-83.4707,bloom,1,9.451851851851853,1,0,1
80,BHR,200208,27.95,21.49230769230769,0.7692307692307693,0.0,25.55806451612903,1.7193548387096775,48807.21,Forest,Strong,37.3386,-83.4707,no bloom,0,6.457692307692309,1,0,0
81,BHR,200209,25.775,22.05,0.55,0.0,22.78333333333333,5.1066666666666665,44687.74733333333,Forest,Strong,37.3386,-83.4707,no bloom,0,3.724999999999998,1,0,0
82,BHR,200210,21.675,20.40714285714285,2.321428571428572,0.0,15.16451612903226,4.52258064516129,40391.39225806452,Forest,Strong,37.3386,-83.4707,no bloom,0,1.267857142857146,1,0,1
83,BHR,200305,20.716666666666665,16.604347826086954,7.069565217391304,0.0,17.961290322580645,6.396774193548387,51045.238064516125,Forest,Strong,37.3386,-83.4707,no bloom,0,4.112318840579711,1,0,1
84,BHR,200306,23.9375,18.387096774193548,5.861290322580645,38.79124079405882,20.51333333333333,5.406666666666667,52892.53633333334,Forest,Strong,37.3386,-83.4707,bloom,1,5.550403225806452,1,0,1
85,BHR,200307,27.275,21.184615384615384,2.0923076923076924,4.5998803368125,23.358064516129037,4.354838709677419,52001.51483870968,Forest,Strong,37.3386,-83.4707,bloom,1,6.090384615384615,1,0,1
86,BHR,200308,28.316666666666663,21.942857142857143,1.9142857142857144,27.116381534526315,23.661290322580644,3.4322580645161294,48836.92354838709,Forest,Strong,37.3386,-83.4707,bloom,1,6.373809523809523,1,0,1
87,BHR,200309,24.825,22.386666666666667,2.66,0.0,19.386666666666667,4.036666666666666,44722.62633333333,Forest,Strong,37.3386,-83.4707,no bloom,0,2.438333333333333,1,0,1
88,BHR,200310,19.625,19.03846153846154,4.469230769230769,0.0,14.348387096774196,1.4774193548387098,40424.50806451613,Forest,Strong,37.3386,-83.4707,no bloom,0,0.5865384615384599,1,0,1
89,BHR,200405,22.96666666666667,15.882608695652175,6.608695652173913,0.0,20.796774193548387,3.7096774193548394,51118.82774193548,Forest,Strong,37.3386,-83.4707,no bloom,0,7.084057971014493,1,0,1
90,BHR,200406,27.066666666666663,18.666666666666668,5.213333333333334,12.13639072025,21.976666666666667,4.14,52905.48166666667,Forest,Strong,37.3386,-83.4707,bloom,1,8.399999999999999,1,0,1
91,BHR,200407,26.95,22.85,0.7999999999999999,0.0,23.316129032258065,4.6,51945.458064516126,Forest,Strong,37.3386,-83.4707,no bloom,0,4.100000000000001,1,0,0
92,BHR,200408,27.15,22.41,0.8099999999999999,63.65820462773684,22.26774193548387,1.8838709677419356,48743.86580645161,Forest,Strong,37.3386,-83.4707,bloom,1,4.739999999999998,1,0,0
93,BHR,200409,23.7,21.044444444444444,3.6666666666666665,0.0,20.50333333333333,6.613333333333333,44613.852,Forest,Strong,37.3386,-83.4707,no bloom,0,2.655555555555555,1,0,1
94,BHR,200410,19.05,17.97142857142857,4.042857142857143,0.0,16.261290322580646,4.267741935483872,40322.1064516129,Forest,Strong,37.3386,-83.4707,no bloom,0,1.0785714285714292,1,0,1
95,BHR,200505,21.0,12.94,6.8133333333333335,0.0,16.96451612903226,1.058064516129032,51096.94612903226,Forest,Strong,37.3386,-83.4707,no bloom,0,8.06,1,0,1
96,BHR,200506,25.8,16.56,3.84,0.0,24.043333333333333,1.75,52901.112,Forest,Strong,37.3386,-83.4707,no bloom,0,9.240000000000002,1,0,1
97,BHR,200507,28.525,21.07333333333333,2.066666666666667,0.0,25.429032258064517,2.948387096774194,51963.147741935485,Forest,Strong,37.3386,-83.4707,no bloom,0,7.451666666666664,1,0,1
98,BHR,200508,29.1625,24.092857142857145,0.5428571428571428,233.8041923076923,25.996774193548383,2.8774193548387097,48774.50064516129,Forest,Strong,37.3386,-83.4707,bloom,1,5.069642857142856,1,0,0
99,BHR,200509,25.8,24.314285714285717,1.042857142857143,0.0,23.59333333333333,1.1133333333333333,44647.87366666667,Forest,Strong,37.3386,-83.4707,no bloom,0,1.485714285714284,1,0,0
100,BHR,200510,20.6,20.428571428571427,4.192857142857142,0.0,15.680645161290323,1.5838709677419356,40355.11774193548,Forest,Strong,37.3386,-83.4707,no bloom,0,0.1714285714285743,1,0,1
101,BHR,200605,19.175,16.075,6.7250000000000005,0.0,16.90967741935484,2.806451612903226,51073.72612903226,Forest,Strong,37.3386,-83.4707,no bloom,0,3.1000000000000014,1,0,1
102,BHR,200606,25.675,17.814285714285713,5.021428571428571,3.3073333333333337,21.473333333333336,3.69,52897.074,Forest,Strong,37.3386,-83.4707,bloom,1,7.860714285714287,1,0,1
103,BHR,200607,28.9,20.975,1.515,33.821333333333335,24.906451612903226,2.7516129032258063,51981.18516129032,Forest,Strong,37.3386,-83.4707,bloom,1,7.925000000000001,1,0,0
104,BHR,200608,28.425,23.02142857142857,0.1292857142857142,0.0,25.38064516129032,2.980645161290323,48802.655806451614,Forest,Strong,37.3386,-83.4707,no bloom,0,5.4035714285714285,1,0,0
105,BHR,200609,25.55,23.575,1.402,0.0,18.53,5.28,44682.65266666667,Forest,Strong,37.3386,-83.4707,no bloom,0,1.9749999999999976,1,0,0
106,BHR,200610,20.25,19.26,5.247999999999999,0.0,13.103225806451611,3.787096774193549,40386.57290322581,Forest,Strong,37.3386,-83.4707,no bloom,0,0.990000000000002,1,0,1
107,BHR,200705,24.275,17.215384615384615,4.913846153846154,0.0,21.04516129032258,1.4516129032258065,51049.232903225806,Forest,Strong,37.3386,-83.4707,no bloom,0,7.059615384615384,1,0,1
108,BHR,200706,26.15,18.264285714285712,1.842142857142857,0.0,24.90333333333333,0.9466666666666668,52893.62533333334,Forest,Strong,37.3386,-83.4707,no bloom,0,7.885714285714286,1,0,1
109,BHR,200707,27.375,20.325,0.7741666666666668,0.0,24.5,2.867741935483872,51998.43935483872,Forest,Strong,37.3386,-83.4707,no bloom,0,7.050000000000001,1,0,0
110,BHR,200708,28.45,23.164285714285715,0.2071428571428571,0.0,28.32258064516129,0.7548387096774194,48832.57161290322,Forest,Strong,37.3386,-83.4707,no bloom,0,5.285714285714285,1,0,0
111,BHR,200709,25.925,23.40714285714285,2.021428571428572,254.55229340538935,23.58,1.41,44716.93366666666,Forest,Strong,37.3386,-83.4707,bloom,1,2.517857142857146,1,0,1
112,BHR,200710,21.65,21.27058823529412,3.5488235294117647,0.0,18.529032258064515,3.2193548387096773,40420.16483870968,Forest,Strong,37.3386,-83.4707,no bloom,0,0.3794117647058819,1,0,1
113,BHR,200805,18.375,15.461538461538462,6.16,0.0,17.03548387096774,3.4096774193548387,51122.93709677419,Forest,Strong,37.3386,-83.4707,no bloom,0,2.9134615384615383,1,0,1
114,BHR,200806,26.025,17.864285714285714,4.128571428571428,0.0,24.53666666666667,2.9,52905.929333333326,Forest,Strong,37.3386,-83.4707,no bloom,0,8.160714285714285,1,0,1
115,BHR,200807,27.375,20.442857142857143,2.2264285714285714,0.0,25.041935483870965,3.716129032258064,51941.778064516126,Forest,Strong,37.3386,-83.4707,no bloom,0,6.932142857142857,1,0,1
116,BHR,200808,26.75,23.607692307692307,1.6623076923076925,0.0,23.91935483870968,3.0903225806451613,48739.200967741934,Forest,Strong,37.3386,-83.4707,no bloom,0,3.1423076923076927,1,0,0
117,BHR,200809,25.83333333333333,23.36818181818182,1.6604545454545454,1507.747831268,22.416666666666668,1.0799999999999998,44608.36033333334,Forest,Strong,37.3386,-83.4707,bloom,1,2.4651515151515118,1,0,0
118,BHR,200810,19.4,19.557142857142857,4.852857142857142,0.0,14.75483870967742,1.6709677419354838,40318.10064516129,Forest,Strong,37.3386,-83.4707,no bloom,0,-0.1571428571428583,1,0,1
119,BHR,200905,19.4,15.023529411764706,7.783529411764706,0.0,17.993548387096773,6.774193548387097,51100.27096774193,Forest,Strong,37.3386,-83.4707,no bloom,0,4.376470588235293,1,0,1
120,BHR,200906,26.4,19.36206896551724,5.153103448275862,0.0,22.81,3.95,52901.100666666665,Forest,Strong,37.3386,-83.4707,no bloom,0,7.037931034482757,1,0,1
121,BHR,200907,27.03333333333333,21.24,1.7965,0.0,22.17419354838709,6.103225806451612,51959.36096774194,Forest,Strong,37.3386,-83.4707,no bloom,0,5.7933333333333294,1,0,1
122,BHR,200908,26.425,22.125,1.23375,0.0,22.816129032258065,3.719354838709677,48768.38838709678,Forest,Strong,37.3386,-83.4707,no bloom,0,4.300000000000001,1,0,0
123,BHR,200909,24.65,23.23,0.115,0.0,20.03,5.46,44642.14366666667,Forest,Strong,37.3386,-83.4707,no bloom,0,1.4199999999999982,1,0,0
124,BHR,200910,19.5,16.811111111111114,6.516666666666667,0.0,13.506451612903223,4.232258064516128,40349.66032258065,Forest,Strong,37.3386,-83.4707,no bloom,0,2.6888888888888864,1,0,1
125,BHR,201005,21.6,14.692,5.796,0.0,20.37741935483871,3.5870967741935487,51075.90129032258,Forest,Strong,37.3386,-83.4707,no bloom,0,6.908000000000001,1,0,1
126,BHR,201006,26.53333333333333,18.775,3.1908333333333334,0.0,26.52,1.81,52896.72,Forest,Strong,37.3386,-83.4707,no bloom,0,7.758333333333329,1,0,1
127,BHR,201007,27.525,20.98888888888889,1.4455555555555557,0.0,26.10322580645161,4.687096774193549,51977.732903225806,Forest,Strong,37.3386,-83.4707,no bloom,0,6.536111111111108,1,0,0
128,BHR,201008,28.133333333333336,24.416666666666668,0.5750000000000001,0.0,25.75483870967742,3.429032258064516,48796.96806451613,Forest,Strong,37.3386,-83.4707,no bloom,0,3.716666666666669,1,0,0
129,BHR,201009,24.25,23.50454545454545,1.034,0.0,21.84,2.856666666666667,44677.69966666667,Forest,Strong,37.3386,-83.4707,no bloom,0,0.745454545454546,1,0,0
130,BHR,201010,20.9,20.3875,3.4325,0.0,15.564516129032258,1.3225806451612905,40381.50838709677,Forest,Strong,37.3386,-83.4707,no bloom,0,0.5124999999999993,1,0,1
131,BHR,201208,27.85,24.75714285714286,1.3142857142857145,0.0,23.967741935483872,3.02258064516129,48733.87903225807,Forest,Strong,37.3386,-83.4707,no bloom,0,3.0928571428571416,1,0,0
132,BHR,201407,27.4,25.17142857142857,2.51,210.85514636991203,23.48064516129032,3.129032258064516,51974.22741935485,Forest,Strong,37.3386,-83.4707,bloom,1,2.228571428571428,1,0,1
133,BHR,201508,28.3,23.485714285714288,0.0385714285714285,0.0,23.64516129032258,2.096774193548387,48823.83,Forest,Strong,37.3386,-83.4707,no bloom,0,4.814285714285713,1,0,0
134,BHR,201509,26.85,23.25333333333333,0.662,1410.4517163110506,21.923333333333336,3.103333333333333,44707.435000000005,Forest,Strong,37.3386,-83.4707,bloom,1,3.596666666666668,1,0,0
135,BHR,201510,19.375,18.366666666666667,4.4383333333333335,0.0,15.119354838709675,2.8193548387096774,40413.09741935484,Forest,Strong,37.3386,-83.4707,no bloom,0,1.0083333333333329,1,0,1
136,BHR,201605,23.875,15.64375,9.30625,0.0,17.306451612903224,4.119354838709677,51127.04129032258,Forest,Strong,37.3386,-83.4707,no bloom,0,8.23125,1,0,1
137,BHR,201606,27.825,19.75,5.629285714285714,0.0,24.186666666666667,2.48,52903.862,Forest,Strong,37.3386,-83.4707,no bloom,0,8.075,1,0,1
138,BHR,201607,29.725,22.72142857142857,4.292142857142857,0.0,25.425806451612903,7.293548387096774,51935.2664516129,Forest,Strong,37.3386,-83.4707,no bloom,0,7.00357142857143,1,0,1
139,BHR,201608,28.7,24.792857142857144,1.4757142857142858,0.0,25.44193548387097,3.616129032258064,48730.92935483872,Forest,Strong,37.3386,-83.4707,no bloom,0,3.907142857142855,1,0,0
140,BHR,201609,26.78333333333333,24.245454545454542,0.3645454545454545,6958.1436370676765,23.44333333333333,1.32,44599.88933333333,Forest,Strong,37.3386,-83.4707,bloom,1,2.5378787878787854,1,0,0
141,BHR,201610,22.066666666666663,21.455,3.914,0.0,18.45483870967742,0.9483870967741936,40311.06483870968,Forest,Strong,37.3386,-83.4707,no bloom,0,0.6116666666666646,1,0,1
