,order,stratification,type,reservoir,do,temp,temp_diff,precip,daylight
360,4,0,0,2,3,3,1,1,3
500,3,2,0,3,0,1,2,2,1
86,0,1,0,1,2,4,2,0,1
266,1,0,0,2,4,0,0,0,1
36,2,1,1,0,4,4,3,2,3
193,4,1,0,1,0,4,3,0,1
58,4,1,1,0,4,1,2,2,4
41,4,1,1,0,2,4,3,1,3
270,1,0,0,2,4,1,1,1,4
411,0,2,0,3,0,3,3,4,2
50,4,1,1,0,1,4,2,2,1
209,5,1,0,1,3,0,1,3,0
148,3,1,0,1,1,4,2,4,2
521,4,2,0,3,2,3,4,1,1
532,4,2,0,3,3,4,4,0,3
531,4,2,0,3,0,4,4,4,2
451,1,2,0,3,2,4,4,0,3
123,1,1,0,1,0,2,3,1,3
222,5,1,0,1,2,1,1,2,0
419,0,2,0,3,2,2,3,3,4
62,5,1,1,0,3,2,2,3,2
511,4,2,0,3,2,2,3,3,4
377,4,0,0,2,2,0,0,3,4
130,1,1,0,1,1,4,4,0,2
187,4,1,0,1,1,2,1,2,1
23,1,1,1,0,1,1,1,1,1
504,4,2,0,3,0,0,1,4,0
538,4,2,0,3,1,4,4,3,1
43,4,1,1,0,1,2,2,4,2
370,4,0,0,2,1,0,2,3,4
394,5,0,0,2,4,3,0,0,2
0,0,1,1,0,4,0,2,3,4
383,5,0,0,2,4,1,0,0,1
201,5,1,0,1,3,3,3,4,3
405,5,0,0,2,3,1,0,1,3
487,2,2,0,3,1,2,3,3,4
368,4,0,0,2,4,0,1,1,0
461,1,2,0,3,0,3,4,3,1
539,4,2,0,3,0,3,4,4,4
98,0,1,0,1,0,3,2,3,1
387,5,0,0,2,4,0,0,2,4
292,1,0,0,2,0,1,0,0,2
256,0,0,0,2,1,2,0,0,2
197,4,1,0,1,1,1,1,2,0
95,0,1,0,1,1,1,1,2,0
561,5,2,0,3,0,3,3,3,2
169,4,1,0,1,2,3,1,0,0
305,2,0,0,2,2,3,1,0,2
373,4,0,0,2,1,2,0,0,2
227,5,1,0,1,1,0,1,4,0
143,2,1,0,1,1,2,3,3,3
180,4,1,0,1,3,4,4,1,1
131,1,1,0,1,0,4,3,0,1
47,4,1,1,0,3,2,2,3,2
324,2,0,0,2,0,1,0,0,2
203,5,1,0,1,2,3,1,0,0
84,0,1,0,1,2,4,3,0,1
398,5,0,0,2,4,0,0,1,4
91,0,1,0,1,1,2,2,0,0
82,0,1,0,1,2,3,1,0,0
430,0,2,0,3,0,3,3,3,2
119,1,1,0,1,3,2,3,4,0
291,1,0,0,2,1,2,0,0,2
57,4,1,1,0,0,2,0,0,0
321,2,0,0,2,0,2,1,2,3
257,0,0,0,2,0,1,0,0,2
442,1,2,0,3,0,1,2,2,1
42,4,1,1,0,3,2,2,3,2
388,5,0,0,2,3,1,0,4,3
335,3,0,0,2,3,3,0,2,3
273,1,0,0,2,4,0,0,2,4
488,2,2,0,3,0,4,4,4,3
53,4,1,1,0,3,2,0,0,0
546,5,2,0,3,1,4,3,0,1
128,1,1,0,1,2,3,4,0,3
28,1,1,1,0,3,2,0,2,2
183,4,1,0,1,1,3,3,2,2
459,1,2,0,3,0,1,2,3,4
510,4,2,0,3,0,4,4,1,2
151,3,1,0,1,2,4,3,3,1
244,0,0,0,2,4,0,2,2,4
543,4,2,0,3,1,2,2,3,1
544,4,2,0,3,1,3,2,2,1
265,1,0,0,2,4,3,1,4,2
288,1,0,0,2,1,0,2,3,4
423,0,2,0,3,2,4,4,0,1
147,2,1,0,1,1,4,4,3,1
177,4,1,0,1,1,3,4,2,1
99,1,1,0,1,3,4,4,0,2
448,1,2,0,3,1,4,3,0,1
431,0,2,0,3,0,4,4,4,2
115,1,1,0,1,1,3,4,2,1
72,0,1,0,1,1,4,2,4,2
537,4,2,0,3,0,3,2,2,1
174,4,1,0,1,2,4,2,0,1
87,0,1,0,1,3,4,4,1,1
551,5,2,0,3,3,2,4,2,4
486,2,2,0,3,1,4,4,4,1
314,2,0,0,2,4,1,0,3,2
396,5,0,0,2,4,1,0,4,3
472,1,2,0,3,1,0,3,4,0
70,5,1,1,0,3,2,0,0,0
277,1,0,0,2,4,1,1,2,4
9,0,1,1,0,4,1,2,2,4
359,4,0,0,2,4,1,1,2,4
192,4,1,0,1,1,4,4,0,2
559,5,2,0,3,0,3,4,3,1
